,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
,^NSEI,SBIN.NS,TATASTEEL.NS,LT.NS,RELIANCE.NS,INFY.NS,BHARTIARTL.NS,TCS.NS,TATAMOTORS.NS,SUNPHARMA.NS,ITC.NS,COLPAL.NS,BRITANNIA.NS,DLF.NS,HAVELLS.NS,DABUR.NS,HINDZINC.NS,PIDILITIND.NS,PGHH.NS,TATAPOWER.NS,CUMMINSIND.NS
2013-02-14,5896.950195,148.566803,319.942749,573.123169,387.634399,540.316895,302.211334,1328.344482,290.662445,382.672485,177.482544,585.201233,467.456024,237.928864,119.48497,128.052505,112.564392,246.149231,2452.22583,83.384995,440.258331
2013-02-15,5887.399902,149.753616,315.911041,574.276428,382.992981,535.677429,307.010651,1323.251587,297.752899,386.234161,177.394012,587.409302,464.517212,233.101852,119.811378,127.573433,111.787148,248.273285,2450.766846,84.745514,439.029968
2013-02-18,5898.200195,151.714844,323.597137,584.199158,383.762756,534.044617,304.150482,1307.83667,299.073517,387.143005,177.21698,594.122986,468.119537,244.677277,117.492271,126.279984,111.878586,245.087219,2459.520508,84.482185,452.132568
2013-02-19,5939.700195,152.438965,324.814728,581.793091,384.170349,541.795227,298.187683,1324.536621,300.002747,389.402863,178.013672,601.817993,472.717316,253.159683,115.963387,126.423698,111.924301,246.052704,2456.019287,84.964989,459.047943
2013-02-20,5943.049805,151.000763,318.556824,579.525513,396.124664,541.60321,294.745789,1333.02356,297.263611,392.669769,177.039932,603.981567,472.859558,262.298157,117.492271,126.423698,112.015739,251.89386,2474.548096,85.491615,458.092529
2013-02-21,5852.25,148.218155,305.663788,567.057922,389.06073,539.365601,287.183197,1331.418091,291.004456,391.785492,175.033188,595.572754,477.931305,255.362274,112.957153,125.369766,108.906746,244.749313,2455.630127,85.403854,449.493896
2013-02-22,5850.299805,147.242569,306.168121,570.816223,390.600311,545.657166,300.223816,1335.133911,286.457397,398.687805,172.319183,587.230896,475.182129,263.797791,113.000092,126.040436,108.266647,244.363098,2455.970459,85.447693,449.675873
2013-02-25,5854.75,148.912125,302.975739,557.512878,386.864563,560.496155,297.654449,1352.200562,292.569244,403.8461,172.702469,581.565552,473.191345,254.612442,111.393913,123.261894,106.392097,240.887375,2473.235352,86.28157,437.437653
2013-02-26,5761.350098,147.403503,293.526337,543.13678,372.895142,568.564148,302.308289,1373.028931,283.034241,392.718933,171.640213,577.68457,464.232819,252.550415,109.882202,123.405632,106.757866,235.722046,2456.894775,85.447693,439.439453
2013-02-27,5796.899902,148.409256,299.951691,560.615295,376.427124,559.103821,311.955414,1360.917236,279.953125,392.448669,173.970947,579.201355,465.559998,260.048706,110.723953,123.645157,109.821159,239.439148,2454.706299,85.491615,439.348419
2013-02-28,5693.049805,139.525101,286.848846,543.971619,368.525452,558.421448,313.070404,1391.930786,281.224304,394.069855,173.970947,567.513794,456.45929,259.954956,109.581573,121.10614,104.929039,232.873886,2453.879395,82.858368,433.97998
2013-03-01,5719.700195,139.977707,286.512024,556.956299,366.963226,559.727783,301.629639,1378.029541,282.055634,392.694336,171.876572,582.413269,475.987976,243.083893,107.142235,124.076302,107.946609,241.27356,2477.368896,85.447693,451.040741
2013-03-04,5698.5,140.772217,281.136749,542.759155,367.959412,557.739197,306.428925,1388.443848,283.376251,392.571503,172.613937,606.70282,474.234161,234.97641,105.853844,123.261894,105.02047,235.722046,2470.365967,85.359909,442.032684
2013-03-05,5784.25,142.720032,289.074127,555.028137,374.185699,561.168518,312.2948,1413.171997,293.889893,392.497803,172.673264,605.029907,474.376343,243.599396,106.240356,128.43573,105.111916,241.225296,2435.545166,86.676498,441.168243
2013-03-06,5818.600098,145.405396,296.298218,569.623474,378.215759,570.542725,310.695007,1432.486938,302.594543,391.785492,169.398026,604.673035,482.908295,253.159683,107.314018,127.333893,109.91259,246.197525,2435.107666,86.149864,442.715027
2013-03-07,5863.299805,145.241135,294.450287,582.15094,378.781799,577.122375,310.501099,1458.820435,299.171387,398.049164,172.525421,594.212219,492.198608,261.735809,108.121399,127.429695,109.409668,249.866364,2431.168213,85.930473,453.178986
2013-03-08,5945.700195,148.147766,301.673523,595.573303,385.48349,570.571228,313.070404,1452.626953,297.117279,401.831879,175.682922,593.766174,500.209229,260.704803,108.422028,129.48967,109.958321,246.873337,2436.712158,86.720428,458.365509
2013-03-11,5942.350098,147.825912,301.841949,600.603943,382.404327,565.865601,311.567596,1437.074097,294.916931,409.421997,175.594421,586.94104,507.65094,268.437378,108.662529,128.387848,109.31823,245.61821,2438.608887,88.783119,457.455536
2013-03-12,5914.100098,147.970093,299.237549,596.826111,383.921265,560.553833,304.974609,1431.844604,297.99707,406.449799,176.360992,586.918701,509.262543,265.719208,108.172935,127.717148,110.095474,243.204514,2434.329346,86.062096,460.367218
2013-03-13,5851.200195,146.126205,295.752502,594.737427,382.630737,550.055359,307.640839,1423.77002,294.379181,411.387054,178.013672,582.279297,509.262543,263.001129,107.640404,128.771057,108.678139,243.34935,2434.718018,86.018257,454.543854
2013-03-14,5908.950195,151.201904,299.951691,605.316956,389.445648,552.101624,305.023102,1438.450562,294.379181,407.825348,178.161469,587.632446,509.546875,266.843994,108.241646,127.908798,110.141197,242.480392,2454.268555,88.388092,455.453796
2013-03-15,5872.600098,151.667908,297.72644,599.788757,382.01947,552.898438,300.853943,1440.790894,284.696899,409.520203,178.161469,584.331421,512.011658,255.40918,109.512871,131.501709,108.952454,241.032196,2437.004395,89.265923,453.724976
2013-03-18,5835.25,150.849869,293.400269,600.663879,377.785583,549.537476,298.139191,1437.762451,280.540283,408.955261,179.547699,592.784729,518.505432,253.112793,109.418381,132.076599,107.077904,252.086945,2477.320068,86.28157,449.630371
2013-03-19,5745.950195,147.74881,285.336823,584.874817,373.574371,548.624634,284.468414,1419.227783,275.406067,412.197632,180.757782,596.665588,503.479736,242.802704,107.69194,130.256165,105.889175,255.32132,2453.441895,86.018257,453.04248
2013-03-20,5694.399902,142.173569,281.179047,571.134827,372.532898,550.477966,271.524811,1429.22937,279.366943,411.804626,181.288895,586.874023,501.631287,233.054993,105.0121,130.208267,105.2948,255.997131,2470.025391,86.369339,450.858795
2013-03-21,5658.75,142.109894,275.383209,554.550293,367.959412,551.851746,288.831451,1431.339722,267.582092,408.390289,179.990311,589.996643,503.76416,224.432007,104.153168,128.100403,104.609001,254.259323,2439.386963,83.077843,445.990784
2013-03-22,5651.350098,139.729614,270.342865,556.439209,367.053802,550.007751,285.098663,1415.007324,264.403137,403.084595,180.344391,583.394653,495.421814,216.465118,102.246361,128.148331,104.014618,255.369568,2437.393311,84.087173,436.755219
2013-03-25,5633.850098,138.006393,264.085052,543.434753,366.442535,548.000732,279.814575,1416.108276,264.794586,403.060028,178.456268,569.989685,493.478394,226.962662,103.122459,125.369766,105.889175,249.045685,2465.064941,83.955559,438.847992
2013-03-26,5641.600098,137.473358,257.491241,531.901428,354.714539,548.346436,287.861908,1428.036621,269.733063,404.656708,180.786972,553.171997,489.639038,221.479568,104.909019,128.579468,106.666435,247.742294,2461.514648,83.297234,442.533112
2013-03-28,5682.549805,138.978622,262.783691,543.335449,349.982605,555.031433,282.868652,1445.837158,263.229797,402.323151,182.616684,553.885864,497.649628,219.979904,110.5951,131.214279,110.918449,254.693726,2454.560303,84.70166,454.043396
2013-04-01,5704.399902,140.175461,264.337158,556.240479,352.631622,565.567505,284.710815,1428.495483,259.659332,399.22818,181.288895,569.565918,500.019592,237.319611,108.215889,135.909088,109.683975,254.597214,2451.447754,84.131104,455.954224
2013-04-02,5748.100098,143.517944,268.537262,566.878967,359.491791,570.34137,282.917145,1438.129517,261.322021,418.215668,181.259674,580.316589,500.540985,239.756561,107.975388,135.382111,110.049759,261.403839,2463.411377,83.648323,451.040741
2013-04-03,5672.899902,141.114182,266.143616,548.664978,351.635376,570.225403,272.251984,1416.154053,251.542831,424.602112,181.525238,585.491211,492.909637,229.493317,105.931152,138.160629,108.998177,260.438416,2484.371826,84.21888,454.953308
