Position,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
Symbols,^BSESN,SBIN.BO,TATASTEEL.BO,LT.BO,RELIANCE.BO,INFY.BO,BHARTIARTL.BO,TCS.BO,TATAMOTORS.BO,SUNPHARMA.BO,ITC.BO,COLPAL.BO,BRITANNIA.BO,DLF.BO,HAVELLS.BO,DABUR.BO,HINDZINC.BO,PIDILITIND.BO,PGHH.BO,TATAPOWER.BO,CUMMINSIND.BO
Historical time period considered in M,,,,,,,,,,,,,,,,,,,,,
9,0.0891402548178008,0.37544487568014034,0.2488259130517943,0.19711462158371296,0.2179042300846237,0.23535539787698517,0.29121634027568905,0.1844239839287964,0.26932876427227975,0.32437433408038996,0.26946386715317616,0.1872561014764834,0.1935576035019102,0.4394759994682642,0.2781714986258254,0.1979972616058997,0.25089139399726085,0.20702083135784644,0.16141724992119072,0.23250340849811083,0.2661064059093708
10,0.08972390264786606,0.3604965413833989,0.24848552254752693,0.20346082504972227,0.22404749873525487,0.2295318835167615,0.28604059442862234,0.18112224180462266,0.2637409531907979,0.31295860608982984,0.2650465351463721,0.18396957819752457,0.18953741830793125,0.4308102931781421,0.2685474813136382,0.19175789191887485,0.28824282818636343,0.20136051700823226,0.1679344537343218,0.2262439377223298,0.2574734562952734
11,0.08778890506438934,0.3467522201153684,0.24995530465112648,0.19711940532067201,0.24814803740738298,0.2282987209757469,0.2835861239502922,0.19128375181332286,0.28651335538295253,0.31557240786754853,0.2593469646461521,0.18226588342233332,0.18654600605615493,0.42477998066988604,0.2679816025227803,0.19029332377944697,0.2930379183587408,0.19886642928064788,0.16206889258855048,0.22225321467640843,0.2603601480611483
12,0.08933178957153676,0.33868498587622164,0.2519657987328648,0.1983372629649796,0.24401211269982512,0.2271990552683581,0.2885893144072541,0.19966613058377275,0.2852879245937858,0.30514001346329694,0.2584624696962962,0.17764023890378583,0.18898270572301504,0.42034828034855604,0.26793274877416273,0.18694438891046666,0.2932884392068136,0.20458540992886237,0.1621829977986784,0.2212054921346988,0.25754975581923084
13,0.09233786254911099,0.3310548782348754,0.2567758548364072,0.19471869697972596,0.23732546928207512,0.2223767749476041,0.2839992322031293,0.19833256315576245,0.28573359473297344,0.307184288577517,0.25707294983700124,0.17279775047416873,0.18886015026394742,0.42268315797116757,0.27654595570095936,0.19050915491858392,0.2938872163788376,0.20731485771793168,0.16678740326147531,0.21950815107112182,0.2553027045212634
14,0.10010554461819661,0.3423047289998302,0.2825332464647354,0.19479164828776094,0.2327414431225059,0.22390542167648406,0.2872848947069228,0.21049212405835083,0.30995073929433714,0.3171005403817998,0.26068531160854025,0.18135710088985052,0.20208964578730654,0.47025506529155825,0.297967641419917,0.1981687548564664,0.3095427153232344,0.21569989123574332,0.16863930599238597,0.2339043866775123,0.2582990927529624
15,0.10067588399056343,0.33554616184543057,0.28538382402034396,0.19437456375949816,0.23247880575548627,0.22237420107049588,0.28359549327237243,0.20819136065620641,0.310088495175485,0.3096079828694781,0.25601223508614557,0.1857437522318931,0.20128156488636972,0.46291167835860686,0.2995298600197915,0.20132251157660241,0.31185589821591764,0.21207664166874854,0.16791729441764416,0.23617263995743332,0.25780067997645256
16,0.10295901660803959,0.33265663324654626,0.2902393110862188,0.19654807575624567,0.22904717446057804,0.21874943449592402,0.2801704249621461,0.21042182116451744,0.31282049428430125,0.3059680202508222,0.2532410690703995,0.1829330428552864,0.20725793199608356,0.4717481788563412,0.2958473649127093,0.20031639208386187,0.31992477266006186,0.21757501867973883,0.16787019559857602,0.236238217536326,0.25378606896728245
17,0.10298390146548583,0.33213348011000476,0.288712069109938,0.19688386457292603,0.22897813509613238,0.2165190334595427,0.2825397574589747,0.2095561807561337,0.3133386294665754,0.29930929945991874,0.2506057393366284,0.19413592915978778,0.22089900736119758,0.4646638424748929,0.29253927854406875,0.19973765586669737,0.31644009499626696,0.21587793690562315,0.17469617927008177,0.23652315726529782,0.2538713416239401
18,0.10264130791593208,0.32699627620490435,0.2934439660098471,0.1985376369249253,0.22506983799754166,0.22616682770046057,0.28113188848467896,0.21031732922527802,0.3107524039109281,0.2936639120412497,0.24722476637330462,0.19278381718113988,0.21987044521664353,0.45787273328030703,0.2912379739125189,0.1980851003445208,0.3159777963972405,0.214722865208758,0.1732239126363502,0.2356395281228408,0.25256337911908044
19,0.10414301231774488,0.3259564135815389,0.2958053872402664,0.2029153090141892,0.22158444742749717,0.22459504280024709,0.2805023951603539,0.2109480596034221,0.3162195873201443,0.2881192540477407,0.246034463291264,0.19095450858710225,0.21867255954137615,0.4539739719660406,0.2852642816996274,0.19919407618725585,0.31314066141408203,0.21134040153472536,0.17037760524748988,0.23527432781282534,0.24806142583616228
20,0.10685857118923706,0.3326842569417057,0.2960345606349989,0.22957950901967392,0.2196893786217239,0.22162638401276336,0.2784620578041469,0.21155988463152928,0.3259081358146917,0.2899576171842937,0.2492086195455588,0.1889894281017439,0.2303487384476298,0.4508178484343233,0.2848912753000629,0.2017926170784377,0.3100396974833415,0.2145076224003176,0.1702374270010879,0.23542130511639575,0.25326694154584506
21,0.10933285341741233,0.3339242369641281,0.3010025836748275,0.22885601050489152,0.21825032832123703,0.22549034259463815,0.2818290185550885,0.21115627664358785,0.32583492688469523,0.2855391376000687,0.2493353797806169,0.1868995451654577,0.23001996855112383,0.4469562919915375,0.28683732282784813,0.210721138588492,0.3267329146367036,0.2127561080214277,0.16886790905393353,0.24198700871726556,0.2542750497884029
22,0.1109728675186154,0.34257238271436136,0.3083155417190977,0.2327049153170578,0.21756904748429529,0.2247089881548502,0.2808577477383925,0.21082031423703093,0.32753062903736363,0.2845633695209051,0.24798120548682082,0.18873307826734756,0.22970352001029704,0.45226890394756625,0.28592782336149675,0.2085358873386421,0.32534137006053565,0.21313377793527663,0.17634289159371752,0.24203446194831083,0.25549550371742696
23,0.11988038057937281,0.35272953862362877,0.32560756628901616,0.24645052036862192,0.2219064056513774,0.22763296806413535,0.2801580212395747,0.2148504219737789,0.34570857831110746,0.2868564231349532,0.2577125863479858,0.18841960963495263,0.23556546015653052,0.46806078828769715,0.29365994651014465,0.21367918689824872,0.32619956443779063,0.22034136315553515,0.18081071522636724,0.24850894228483691,0.2630332267558667
24,0.12273403554252893,0.3572912708421284,0.33380888098495715,0.25107192215134094,0.22889817014434483,0.22882971087452703,0.2807658552130157,0.2136894946140259,0.3524204439516303,0.2860888422406391,0.2552477509585923,0.19222288792095688,0.23726351428542106,0.46971551263920436,0.295809819584027,0.21832281513945093,0.33018627245144927,0.2208301289457625,0.18445213092553894,0.25471722095618937,0.26217402204067475
25,0.12258292367525751,0.3516443674911969,0.3339943018906621,0.2474170946566437,0.22917497699358394,0.227332370439134,0.27874870244068956,0.2110776467174015,0.3481662659849046,0.2871466249279615,0.25681413894957866,0.19040439974910883,0.23764207888487718,0.4653099847491633,0.30023849157869276,0.21704978182344975,0.32732976170791866,0.21791546789743574,0.18194542631488494,0.2531304702123968,0.2587233013773065
