Position,in,in,in,in,in,in,in,in,in,in,index,out,out,out,out,out,out,out,out,out,out
Symbols,BHARTIARTL.BO,INFY.BO,ITC.BO,LT.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TATAMOTORS.BO,TATASTEEL.BO,TCS.BO,^BSESN,BRITANNIA.BO,COLPAL.BO,CUMMINSIND.BO,DABUR.BO,DLF.BO,HAVELLS.BO,HINDZINC.BO,PGHH.BO,PIDILITIND.BO,TATAPOWER.BO
Historical time period considered in M,,,,,,,,,,,,,,,,,,,,,
9,48.13075725289235,79.32085690611632,22.514340453434386,83.00883917671285,65.96176972573107,35.4840365969786,57.41536672397393,36.88335921477977,58.57202440489482,168.79172357964512,1295.4517482677475,306.9459338658162,69.47064635605659,75.97570911646119,23.10377630838869,34.32984094612249,49.43846577003973,24.882923836863768,530.5925848691795,61.99837066293321,7.090459874956522
10,47.38726693057379,77.68646332869662,22.198135228293893,85.14358068443892,67.4852514826382,34.20771357436931,55.62782994809339,36.22789521580199,58.50444615226553,166.42592833706613,1300.3196427220282,301.8872890681346,68.51192438319481,73.87006569912114,22.52273932597157,33.70682351333096,47.964838020667344,28.024240997578914,546.7277790436019,60.62950076133336,6.931944233670883
11,47.034908194744105,77.34067299509479,21.790542341088894,83.01044667321162,73.48462201645441,33.03587669961706,56.03686935531124,38.90334305157879,58.7962798184285,173.71629382968013,1284.2044597150416,298.1278741991332,68.01540299411806,74.5737522304047,22.38653359955049,33.2734437717001,47.87827206765371,28.42902655941006,532.2036293203628,60.027116361275375,6.8310148800507875
12,47.75330884218039,77.03240728495041,21.727330801182234,83.41977062936303,72.45266294606176,32.34888723029806,54.40518337839211,38.75909867007502,59.19562371889526,179.75003966264921,1297.0485693862465,301.1898535495793,66.66898402507843,73.88865990064187,22.07534894615469,32.955045325852154,47.87079904290448,28.450183290595504,532.485783015185,61.40910234878561,6.804534509704318
13,47.0942029526355,75.68162361257828,21.628049825161696,82.20405156092386,70.78630516701185,31.699720304377934,54.72472772396861,38.811554689363646,60.15172806641368,178.78898773197602,1322.1935588069537,301.03578437924034,65.26216951613037,73.34117460241032,22.406601593240964,33.122785929196425,49.18938305840021,28.500754025376466,543.8843212566308,62.06954212364735,6.761651329737035
14,47.565951465471585,76.10963374060248,21.886210275288647,82.22854619478744,69.64544177854918,32.6570589938452,56.276078231964675,41.66754051286338,65.28683593288105,187.5668815482129,1387.8266938585002,317.70479011808766,67.7506828410161,74.07128866819028,23.119763712680168,36.54457639066197,52.47734162808047,29.82461535381674,548.4758007336522,64.10180675528716,7.125972091488229
15,47.03625295765636,75.68090309113256,21.552280821508475,82.0885112260579,69.58011532608805,32.081765013194,55.103702547495914,41.68381617109344,65.85660664088522,185.90346587421914,1392.6796469270266,316.6845192827741,69.02932806855381,73.94981217310954,23.413931035314533,36.01594861121177,52.71756739845512,30.020481765297916,546.6852312418805,63.223039253766046,7.18349359271123
16,46.54480235181006,74.66669242395926,21.35440896876338,82.81847883231046,68.72694568874874,31.835947325667064,54.5345991106027,42.006663496512886,66.82774163878486,187.51603690532738,1412.148948045473,324.236291559906,68.20979990067167,72.9717954459253,23.320052429585814,36.65207546972155,52.15139481228914,30.704198540353275,546.5684479361744,64.55694479932788,7.185157063377879
17,46.88473847979543,74.04312289763959,21.166342789055335,82.93130009785943,68.7097886534242,31.791450934052733,53.49430626246874,42.06790683969507,66.52219766302284,186.8900724327168,1412.361517449659,341.5233024485415,71.48128707846831,72.99256065790769,23.266065706652938,36.14207029312283,51.64306437081183,30.408831465904882,563.5193238670709,64.14501244980227,7.192385274728302
18,46.68273002022653,76.74312491192904,20.925220062046293,83.48713238486073,67.73902456617463,31.35466336500565,52.61315439211967,41.76226050038716,67.46911873267305,187.4404679116749,1409.4357234948366,340.2175277592173,71.08574575413388,72.67409225638562,23.111964934369837,35.65328488222963,51.44317539924765,30.36965675114638,559.8589933241128,63.86475390018154,7.1699713986917
19,46.59242285683416,76.30277893351354,20.840372758542628,84.95990929595484,66.87413327295371,31.266284085782303,51.748493159519455,42.40851498445926,67.94194130143256,187.8966498869113,1422.2712614313095,338.6972529110958,70.55090298242294,71.5786119934487,23.21536773892646,35.37272820423743,50.526120942022544,30.1292953909998,552.7891344599238,63.04458641333815,7.160709213640658
20,46.29978384443416,75.47158287651234,21.066682284218928,93.97169294671858,66.40421263536757,31.838296917266348,52.03509044373084,43.554936672860464,67.98783757329483,188.33923876875565,1445.5508263057854,353.53638016997456,69.97674927808634,72.84538785764732,23.457805810326732,35.145643127509885,50.46888880312906,29.866691386252455,552.4411783189344,63.81253897863917,7.164436744675889
21,46.78275180840143,76.55358117074275,21.07572321671458,93.72631233888819,66.04753209184128,31.943774184857375,51.346404580095566,43.54626858925391,68.98317741794716,188.04726341015362,1466.8352968459876,353.11794097064376,69.3665775150829,73.09087485170676,24.29231527944279,34.867841609830805,50.76751942973584,31.28166123918959,549.042852810936,63.38776479169678,7.33108280648743
22,46.643400557696225,76.33469544983484,20.979152123215016,95.03220807238426,65.8787200178325,32.67985116626568,51.19438481078981,43.74706390297959,70.44967777972818,187.80424998036438,1480.9797275916571,352.7152160669989,69.90187926177668,73.38813947971278,24.08786084987193,35.25004393747187,50.62794013790517,31.163589747562384,567.6160527133079,63.479338643188726,7.332288151732584
23,46.54302311416643,77.15403436546023,21.673748279294784,99.70573790733681,66.95399305538649,33.54529172948625,51.55167046890733,45.90220522698212,73.92334630485391,190.7209252728319,1558.2672577169578,360.1804418538618,69.8103364541721,75.2257273395237,24.569281543868357,36.3866044987775,51.815239725168965,31.236404399173807,578.7451385768227,65.22883168087628,7.496864509967466
24,46.63021766048723,77.48955438887162,21.497682393004993,101.28027381421145,68.68991686261722,33.934282393644196,51.432056764169374,46.69908833476805,75.57360274995136,189.88039149936776,1583.1786148107458,362.34490035865747,70.92170809460038,75.01612626490646,25.004540819230357,36.5057315894324,52.145623997232974,31.574766010222277,587.830228060965,65.34759506166688,7.654891397192216
