date,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
,^BSESN,SBIN.BO,TATASTEEL.BO,LT.BO,RELIANCE.BO,INFY.BO,BHARTIARTL.BO,TCS.BO,TATAMOTORS.BO,SUNPHARMA.BO,ITC.BO,COLPAL.BO,BRITANNIA.BO,DLF.BO,HAVELLS.BO,DABUR.BO,HINDZINC.BO,PIDILITIND.BO,PGHH.BO,TATAPOWER.BO,CUMMINSIND.BO
08/04/13,18437.7793,158.75589,271.578064,526.882141,357.324554,544.224792,273.953949,1358.905029,251.302475,425.997009,172.865326,591.703064,491.197937,218.74437,104.707939,136.05365,105.791008,250.395172,2458.130127,84.610115,452.180573
09/04/13,18226.48047,158.75589,270.02597,525.072815,351.528717,531.393799,269.959625,1373.861084,256.974396,426.340851,169.471191,595.525085,491.292755,215.557861,106.193718,132.843948,107.299698,245.181625,2455.698486,82.94252,453.636505
10/04/13,18414.44922,158.75589,271.001587,536.904358,353.656891,540.402039,274.392334,1403.911133,261.766602,421.035248,167.936981,597.311829,498.212341,220.431335,106.803474,131.598373,108.122612,243.202408,2462.555664,83.469124,446.220673
11/04/13,18542.19922,158.75589,264.926117,547.920776,349.174194,560.495667,268.059845,1409.646118,272.035919,428.64978,168.350433,601.947754,506.885559,231.256088,109.972542,132.173233,105.973885,242.092117,2466.543457,82.547607,446.357117
12/04/13,18242.56055,162.510239,265.502625,540.722717,351.053284,440.936981,266.306274,1386.707031,272.228699,427.495331,172.983063,611.152222,507.359528,230.97493,109.543121,133.131393,106.796799,241.416275,2460.804932,83.513062,449.177979
15/04/13,18357.80078,167.400269,261.2453,549.213745,359.316803,448.332397,272.638794,1353.766235,263.282928,427.544434,177.026123,606.832581,499.776398,226.944946,107.91996,132.364883,103.047943,243.540314,2459.540527,82.635368,438.895905
16/04/13,18744.92969,170.299927,264.482666,566.951355,364.274963,440.648773,277.948334,1362.437744,264.847717,437.074921,181.924362,607.986206,503.615356,229.944016,108.01442,133.514633,98.659042,244.26442,2491.832031,84.302963,454.819397
17/04/13,18731.16016,170.299927,263.595703,565.340698,350.509918,438.325287,278.776398,1338.901978,268.373627,450.216187,184.816544,610.609497,512.809875,228.022736,108.54689,133.275116,100.48774,242.043839,2460.27002,82.986443,455.820313
18/04/13,19016.46094,179.053574,266.03479,585.742981,353.99646,440.927643,291.733704,1331.103027,276.094666,450.019653,186.085175,625.716431,512.809875,232.287018,108.632767,135.574615,100.670616,242.092117,2460.610596,83.381363,454.136932
22/04/13,19169.83008,179.053574,272.065887,610.420959,357.596191,431.140228,293.000214,1307.750854,279.02948,455.44809,187.029755,632.252136,534.184875,235.332947,111.48407,138.017776,102.865067,242.816223,2500.537842,83.907967,460.551819
23/04/13,19179.35938,179.053574,273.662354,597.952209,363.822144,434.531097,291.733704,1311.74231,275.214905,466.894501,187.324554,625.490173,534.184875,231.349823,110.857124,136.341095,104.190887,242.092117,2486.09375,83.11805,468.832031
25/04/13,19406.84961,181.949341,277.210052,604.017395,370.976379,427.798615,296.702271,1286.509399,289.873138,479.102295,188.947266,629.085938,534.848389,227.272949,112.162552,139.502914,108.579803,242.236938,2465.084717,83.074203,462.007629
26/04/13,19286.7207,181.949341,270.380707,613.184265,359.135742,424.964844,310.195374,1255.404053,289.738739,469.571838,188.239029,630.895203,536.2229,222.727493,110.20443,139.934067,108.396942,241.609375,2470.67749,83.293587,462.82663
29/04/13,19387.5,177.371521,268.207733,608.29303,358.886688,428.1828,309.903107,1257.698364,289.542969,462.546814,191.426041,628.678894,534.706177,226.382614,112.780899,141.419159,109.12841,241.802475,2507.735352,83.644661,468.650055
30/04/13,19504.17969,177.371521,268.606873,601.571838,356.871765,429.219299,310.536316,1262.790527,292.868225,467.336609,194.111969,664.727478,534.706177,223.102371,112.978432,141.658676,108.899811,239.919815,2647.651123,83.205818,463.782043
02/05/13,19735.76953,177.371521,270.02597,617.300476,363.482574,439.294952,308.539215,1311.283813,293.036316,474.803802,196.797012,680.671326,545.512268,224.086456,116.71431,144.293533,111.59716,241.223206,2635.833252,82.854752,473.654541
03/05/13,19575.64063,177.371521,276.012726,624.001953,362.780731,443.309662,309.513428,1301.786621,279.02948,483.523651,195.203506,682.503052,544.279968,216.963684,116.413719,153.731064,110.865692,239.002594,2599.164307,82.284294,468.468018
06/05/13,19673.64063,177.371521,285.902008,620.840393,371.972504,449.763977,311.75412,1344.086426,284.652954,482.565704,192.576904,683.498047,547.834534,218.182037,117.281136,151.144104,113.745911,242.912766,2594.88501,82.547607,472.062225
07/05/13,19888.94922,177.371521,287.232391,627.402283,374.508118,451.147003,321.545166,1347.940186,291.987549,486.618591,197.830124,684.108887,546.934021,224.32077,115.692314,154.928696,112.831551,250.684799,2585.644775,82.50367,472.107697
08/05/13,19990.17969,175.896317,283.063812,621.317383,375.413727,451.521881,315.699707,1354.638306,294.091034,483.96579,202.314957,684.696655,539.445679,222.212036,116.525375,154.785004,112.328651,258.167236,2578.544189,82.459839,471.880219
09/05/13,19939.03906,175.896317,280.314331,621.556335,370.432983,453.317596,316.527832,1375.283569,293.210297,465.936493,203.288742,690.033875,547.64502,219.822159,116.67997,151.527374,111.958389,265.746155,2573.924316,82.459839,471.65271
10/05/13,20082.61914,179.034058,282.17688,621.079285,375.9888,455.402191,315.797211,1371.337769,301.767578,459.427277,208.305603,694.941345,541.294067,222.493179,116.302086,153.778961,112.050964,273.711304,2510.847656,82.50367,475.474457
13/05/13,19691.66992,179.034058,270.824188,603.262146,371.775635,449.562622,303.619293,1331.974854,291.107788,463.996063,198.213455,693.674988,531.909973,217.432281,113.802895,156.940765,107.746651,278.152496,2461.874756,81.669914,465.829346
14/05/13,19722.28906,178.842834,269.538147,605.190552,369.321838,451.723297,309.026306,1337.526001,293.895325,473.403717,198.242676,700.685608,534.895813,215.83902,113.270424,154.928696,108.626007,276.221558,2456.525391,82.415909,464.55545
15/05/13,20212.96094,186.117355,273.662354,628.516357,379.09079,453.375244,314.092285,1348.123657,301.621307,477.898712,202.22641,699.215576,541.767944,226.476318,117.040665,154.305939,109.459106,281.579926,2484.537598,82.547607,458.277039
16/05/13,20247.33008,186.117355,276.145752,633.845154,388.975464,447.986694,313.65387,1334.314209,296.535492,475.786316,198.773849,697.361206,541.720581,227.600983,117.959618,152.245941,112.282372,276.993896,2530.592773,81.757591,454.182434
