Position,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
Symbols,^NSEI,SBIN.NS,TATASTEEL.NS,LT.NS,RELIANCE.NS,INFY.NS,BHARTIARTL.NS,TCS.NS,TATAMOTORS.NS,SUNPHARMA.NS,ITC.NS,COLPAL.NS,BRITANNIA.NS,DLF.NS,HAVELLS.NS,DABUR.NS,HINDZINC.NS,PIDILITIND.NS,PGHH.NS,TATAPOWER.NS,CUMMINSIND.NS
Historical time period considered in M,,,,,,,,,,,,,,,,,,,,,
12,0.09037604702096247,0.34156362737929896,0.2551815362747689,0.2003488438258132,0.24517728264801703,0.2279576741966733,0.28748227216015904,0.20318343684945211,0.287870988167111,0.306716176979153,0.26027680227204075,0.1790637166426965,0.18436694420246239,0.42413736082128756,0.27055108739931466,0.18813312922669803,0.29931507012574493,0.2116280266020431,0.16329055263321185,0.22300974618997008,0.2591186909864401
13,0.09397986987481124,0.33414902774217903,0.2601078710953202,0.19737490298126928,0.23921190652059646,0.22347363174906654,0.2832003141748936,0.20171905016765454,0.2884574845771233,0.3084514578639126,0.25987291697459164,0.17438141505124433,0.18485229517528393,0.4265687059122781,0.2809430471418185,0.19286279054615402,0.2994420819459974,0.21435038140562837,0.17183190045961788,0.22119974746058663,0.25695567903537786
14,0.10372920217784919,0.34519040894731984,0.28655411886577287,0.19749896699192593,0.23578689735294042,0.22543037832493876,0.28750291431094716,0.21374985625845444,0.3125935566784254,0.3187789864314612,0.26334088834579855,0.18248515836467902,0.1979373979785432,0.4747796446887998,0.3022867710626052,0.20149000097151443,0.313025253727891,0.22308681886644657,0.17434804930048917,0.2329234260148141,0.25888216778619094
15,0.10393754977890546,0.3384430102865748,0.28928559145833127,0.19694332686724242,0.23534923374421865,0.2239523345015982,0.28366712736433564,0.21140121512246168,0.31307453297735227,0.3115429610417913,0.25893095869683974,0.18737316988584943,0.1978537183971524,0.46733510512850346,0.3047265899613254,0.20416324168649283,0.3150993236335287,0.2195105381815957,0.1726770623790512,0.2355151102355836,0.25787328867405357
16,0.10645106649361305,0.3357505543551168,0.2940368349037628,0.1991144717845991,0.23180983520721066,0.22014733638818013,0.27983037684556616,0.21336412560641643,0.31555543863620655,0.3078332741186583,0.25570627450914724,0.18465621030641322,0.20373639040748678,0.4763171948528607,0.3006768356545573,0.20319098255810553,0.322509384279798,0.22517313365428218,0.17088886428405078,0.23650962069692982,0.2540806549112594
17,0.10620477239054567,0.3349544294040209,0.292475319666815,0.19935561667823218,0.23193343304544067,0.21788881676005645,0.28276749617944885,0.21261685877676348,0.31631702089406616,0.30111727961108037,0.25375969495405126,0.1951333589907747,0.21764983707857108,0.46921245691573393,0.2979295984416648,0.20271842385023628,0.31975081634981023,0.22305876549001324,0.18045566391578788,0.2375279475870161,0.2544640289594093
18,0.10550558045369865,0.3298861393956016,0.2969242907274853,0.20079585463206914,0.22816472328246057,0.22744606876994705,0.2819703900585865,0.21358139431896536,0.3137439280715324,0.29584499871399317,0.2504503515961698,0.19393214866534236,0.21699521734594684,0.46256506044629137,0.2961450231161496,0.20092946429530173,0.32023600681847614,0.22145048740613457,0.17957945473282455,0.23707209391660722,0.25368412628321174
19,0.10653517256355109,0.3293078021729737,0.29933040207096284,0.2059743595413196,0.22442233373246526,0.22579191027312462,0.2812467759239808,0.21422698427344222,0.3187381863473133,0.2903872220044423,0.24909891286381872,0.1925472800179519,0.21615836988807932,0.4584899345889718,0.29001337980815817,0.20279077636939757,0.3178721745726809,0.2176204626862436,0.17664232675402292,0.23613361907324482,0.24914563240036428
20,0.10859058579718449,0.33612098158423126,0.30001138011242695,0.23257950856867193,0.2228717267829304,0.2233811000606218,0.2801365141914242,0.21498328844396694,0.3288272586483812,0.2919814045279538,0.25218028906035883,0.1909067560167924,0.22802228380655035,0.45516422137426255,0.28933835999504587,0.2070978409554474,0.3150177229428868,0.2207046861485747,0.17486835324840055,0.23704603270062846,0.25438726137216894
21,0.11090700400951815,0.3375365204070111,0.30488493034673275,0.23192327556813422,0.22157025728365856,0.22734275226950124,0.2838696183854442,0.21431205154077945,0.3287574836741026,0.28754563169649033,0.25271906412467576,0.18914198360636075,0.2277718570266207,0.4512917203293595,0.29132827668029054,0.21579600006414926,0.33084682186322584,0.21886975700248587,0.17325499635248764,0.24362641012906677,0.25582992246432956
