Position,in,in,in,in,in,in,in,in,in,in,index,out,out,out,out,out,out,out,out,out,out
Symbols,BHARTIARTL.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,^NSEI,BRITANNIA.NS,COLPAL.NS,CUMMINSIND.NS,DABUR.NS,DLF.NS,HAVELLS.NS,HINDZINC.NS,PGHH.NS,PIDILITIND.NS,TATAPOWER.NS
Historical time period considered in M,,,,,,,,,,,,,,,,,,,,,
14,34.62696204071486,51.0109912655721,15.589031703357762,52.157685791352606,47.662443670846415,25.2938920064761,42.4718013541806,31.38070704648422,45.73426290765258,123.44594872861296,178.68157580267643,195.7625591536871,41.1936053299446,52.00431585125443,14.869369840234668,30.466970062611637,39.28306156245415,22.479365723026163,331.5611316481504,43.59519121297495,4.766099655234665
15,34.07597269746145,50.59588607380368,15.273550790548597,51.97077244900299,47.55350471396707,24.718613512280342,41.33858774001948,31.437641971668114,46.25473175558483,121.7458022962195,179.23257112340252,195.65718163851125,42.62485890933664,51.758652632921496,15.119750074407364,29.93098846423287,39.65870800894345,22.65498304928154,327.4009642377132,42.726375805933,4.831565153886295
16,33.525203704799054,49.52800456299627,15.043037392472513,52.70132470544104,46.67293434175741,24.489182759718574,40.75806886614694,31.731376304922236,47.16060959991543,123.16664523157385,185.89247379352082,203.07217683962244,41.82898342761882,50.835593950045336,15.02866229424798,30.577682261981025,39.035263153834336,23.282818809309532,322.9523108590506,44.102416941523984,4.856697122117371
17,33.946797295513534,48.8946625726328,14.903961829581164,52.78249784868336,46.70367158139868,24.42135711538792,39.707897945342864,31.82156629154906,46.86281293614172,122.62564502209318,185.2388702873891,220.66282227107035,44.90233915898193,50.928867510493944,14.9843998291133,30.06614045944154,38.61255321828372,23.049019418752238,346.7915993819215,43.58837275444341,4.882437086765147
18,33.832359742082105,51.57734874178857,14.667652076821895,53.26743655168218,45.76686417610489,23.98971948852804,38.884222760808285,31.51688707908994,47.71146996736863,123.32396342860716,183.38457394701163,219.8336121371849,44.54940097448832,50.73912775574007,14.816895901926046,29.587625282393176,38.33806127421792,23.09013500833268,344.6042899036347,43.19756056311934,4.870913835784293
19,33.72848671662459,51.112550908570256,14.571197914651535,55.01290820988106,44.837482890896524,23.94048293334437,38.03228402462119,32.10835367239187,48.170689874683035,123.79147460372508,186.11571990762468,218.77379261343663,44.142681029578625,49.63559184024035,14.991176340153302,29.294328244768252,37.39551970195129,22.88984638330436,337.2778620190038,42.26754330686862,4.847194601730283
20,33.569136611294084,50.43549912263404,14.791160856259694,64.02158275833887,44.45267083048469,24.520743411474726,38.28105321372203,33.304393958357906,48.30068917013952,124.3392697542738,191.5791704346875,233.82112768066713,43.66113165173624,50.91018963101834,15.394849100480101,29.05500024779964,37.29181401934298,22.648072736972665,332.8571090197852,43.01638743249816,4.870255087386941
21,34.10505051277141,51.54831234242579,14.829635902085471,63.79861799196635,44.12980842169293,24.641361116892753,37.58901920710355,33.29611694230016,49.23144395999901,123.85308341949167,197.7535080655116,233.50302123228084,43.143423057229086,51.261244796548226,16.211655821951155,28.776362213456878,37.59756461729697,23.989956795566997,328.8394789132035,42.570793944194236,5.036713646952819
22,33.97794662707642,51.397077738118526,14.783477572934785,65.09036306591355,43.94692291284804,25.400978265066215,37.45092958368545,33.497211415208824,50.74018933538741,123.48685575331206,201.8975340380689,233.74938031396823,43.76285890111967,51.660860013176034,16.024185348079726,29.16047296363196,37.38772140929717,23.861361444169617,351.04184671105395,42.62069955830265,5.036520622281149
23,33.81484519922253,52.321314615123356,15.470081658729228,69.9307633896139,45.03911387663919,26.313214725194726,37.83330253843209,35.63011924627628,54.13710301632523,126.50174165664134,226.43690254043213,241.362752088663,43.645048125873814,53.325251748807204,16.509151081054313,30.315595590316946,38.50896485793558,23.938473702600717,360.2140974390095,44.237413134736414,5.1853825127499995
24,33.88083729905159,52.820742299520305,15.284124037285878,71.49892936555676,46.72495263976356,26.72929287374842,37.70370367097496,36.470146331607026,55.69465835777845,125.79876797158215,234.75318093530177,243.04382335993364,44.808384112741805,53.00637394507004,16.9171472104899,30.454203802502334,38.80875803479722,24.2528056668897,370.2970125087886,44.249879938906986,5.331337030070113
25,33.58473730483607,52.53525725557142,15.406469409162185,70.21871717998357,46.81781873016399,26.24512882054013,37.84846870263726,35.97166324661197,55.75445487280257,124.02538550838938,234.47562198246487,244.9906142518903,44.474405749467735,52.16902987865177,16.85270742277963,30.14031349566652,39.3680377883436,24.035019950503397,363.7023788864676,43.55839183384478,5.297965979881532
26,33.347463222496,52.94224887183782,15.368701143501866,69.51153641020437,47.06551952914782,26.049284112615382,38.432451873913806,36.072251178978064,55.89207468309709,123.36406096787073,233.9325489684602,246.58651360079307,44.14744014071607,51.95482844073308,16.789017317931453,30.167280595519998,40.294084557696834,24.14930294523043,370.96761585643026,43.68831579584139,5.229042880234392
27,33.31708841766351,53.0472409281507,15.408941812196176,69.9507986585844,47.25577317707746,25.72279291736004,38.062817133637566,36.60295816767473,56.17581122169156,123.56890214806651,232.5259544695059,245.76953909149324,44.687274876047866,51.41194106941799,16.67602351114283,29.878960414820142,39.871810273274974,24.218573706049767,367.19458500703104,43.028417627660474,5.174195965747366
28,33.26949815760463,53.20553131355109,15.234040462059596,70.93417375385411,47.45570516764997,25.60192737719504,37.97983877475636,37.07035896621829,57.852992069454984,122.35545197125441,238.95117837151565,249.23568936597212,45.71258252553099,51.5292307373586,16.73222298237941,30.04006720240497,39.49558739642819,24.48608808056325,369.7535968874845,42.61657015073354,5.354766486832549
29,33.8305221676716,54.37631827984677,15.199881250816176,71.78358201412749,49.748007545695714,26.227543340036718,38.19867202988959,37.675131073686515,61.14345892345111,122.8383055650886,259.8844947417656,254.9676405850946,45.57825836757877,57.20968507229361,17.664637756299584,32.600097261941755,39.77951806783278,25.185942483749812,367.7896054339676,43.95692410476801,5.5389541965675555
30,33.67758701441858,56.63330151271015,15.134510822417894,71.0596477133214,49.46778470418451,26.041625952481795,40.67830105437611,37.61811775760722,60.814903898504184,122.08109438060558,259.681550837186,252.3478513175835,45.31926401188315,57.27441733192347,17.591346566007118,32.5962404343946,39.85654646246948,24.928295742548713,366.9788628242036,44.259725190618894,5.525416079435615
31,33.31791670074949,56.32829137510282,15.021408069427054,70.70727043634184,49.839026755487225,25.844591849018215,40.41653400127535,37.335311110165975,60.33675587328224,121.07589655180595,261.57276261148263,258.32195125700696,45.34488047942966,56.75884901893994,17.57250930094925,32.38974069232954,39.43554454263628,24.548261027175982,369.6425628618081,44.11439133436892,5.638016872769644
